Nombre;Sexo;Estado_Civil;Edad;Experiencia;Salario;Gerencia;Departamento
Selena;Femenino;Casado(a);24.0;6.0;2709.0;Sí;Contabilidad
Shaun;Masculino;Casado(a);28.0;6.0;2796.0;No;Comercial
Soledad;Femenino;Divorciado(a);21.0;3.0;2477.0;No;IT
Soraya;Femenino;Soltero(a);38.0;4.0;2546.0;No;Legal
Soraya;Femenino;Divorciado(a);19.0;1.0;2037.0;No;Servicios al cliente
Susanita;Femenino;Soltero(a);33.0;4.0;2581.0;No;Recursos Humanos
Susanita;Femenino;Casado(a);23.0;2.0;2228.0;No;Legal
Teo;Masculino;Casado(a);23.0;5.0;2643.0;No;Publicidad
Teodora;Femenino;Casado(a);71.0;32.0;5332.0;No;Comercial
Tim;Masculino;Divorciado(a);22.0;4.0;2518.0;No;Recursos Humanos
Victoriano;Masculino;Casado(a);20.0;2.0;2110.0;No;Servicios al cliente
Vito;Masculino;Divorciado(a);22.0;4.0;2530.0;No;Producto
Ximena;Femenino;Soltero(a);58.0;24.0;4532.0;No;Legal
Yesica;Femenino;Divorciado(a);19.0;1.0;1935.0;No;Comercial
Yolanda;Femenino;Divorciado(a);46.0;1.0;1939.0;No;Contabilidad
